season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
summer,Friday,3,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Saturday,3,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,weekday,11,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,Friday,4,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,Saturday,3,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,Sunday,2,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,weekday,24,Mnquma,6818.181818181818,tap inside house,Asbestos,Plaster,20.0,53.0,10.0,0,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Friday,5,Mnquma,9090.90909090909,tap inside house,Asbestos,Plaster,20.0,53.0,24.0,1,0,0,1,1,1,0,0,0,2,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Saturday,2,Mnquma,9090.90909090909,tap inside house,Asbestos,Plaster,20.0,53.0,24.0,1,0,0,1,1,1,0,0,0,2,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,weekday,19,Mnquma,9090.90909090909,tap inside house,Asbestos,Plaster,20.0,53.0,24.0,1,0,0,1,1,1,0,0,0,2,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,Friday,2,Mnquma,9090.90909090909,tap inside house,Asbestos,Plaster,20.0,53.0,24.0,1,0,0,1,1,1,0,0,0,2,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,Saturday,3,Mnquma,9090.90909090909,tap inside house,Asbestos,Plaster,20.0,53.0,24.0,1,0,0,1,1,1,0,0,0,2,0,never,never,never,daily,weekly,daily,never,never,never,never,31
winter,weekday,14,Mnquma,9090.90909090909,tap inside house,Asbestos,Plaster,20.0,53.0,24.0,1,0,0,1,1,1,0,0,0,2,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Friday,8,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
summer,Saturday,9,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
summer,Sunday,4,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
summer,weekday,45,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
winter,Friday,3,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
winter,Saturday,6,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
winter,Sunday,3,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
winter,weekday,17,Mnquma,11363.636363636364,tap inside house,Asbestos,Plaster,20.0,54.0,11.0,1,1,0,1,1,1,1,0,0,0,1,never,daily,never,daily,weekly,daily,daily,never,never,weekly,31
winter,weekday,2,Mnquma,41306.81818181818,tap inside house,Tiles,Plaster,20.0,133.0,15.0,1,1,1,0,1,1,1,0,1,0,0,never,daily,weekly,never,weekly,daily,daily,never,daily,never,31
summer,weekday,2,Mantsopa,0.0,tap in yard,IBR/Corr.Iron/Zinc,Brick,20.0,93.0,11.0,1,0,0,0,1,1,1,0,1,1,0,never,never,never,never,weekly,daily,daily,never,daily,never,31
summer,weekday,2,Mantsopa,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,44.0,20.0,1,0,0,0,1,1,1,0,1,1,0,never,never,never,never,weekly,daily,daily,never,daily,never,31
summer,weekday,2,Mantsopa,1534.090909090909,tap in yard,IBR/Corr.Iron/Zinc,IBR/Corr.Iron/Zinc,20.0,29.0,10.0,1,0,0,1,1,1,1,0,0,1,0,never,never,never,daily,weekly,daily,daily,never,never,never,31
summer,weekday,2,Mantsopa,795.4545454545455,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,75.0,25.0,1,0,0,0,1,1,0,0,1,1,0,never,never,never,never,weekly,daily,never,never,daily,never,31
summer,Friday,2,Mantsopa,1500.0,tap in yard,IBR/Corr.Iron/Zinc,IBR/Corr.Iron/Zinc,20.0,14.0,22.0,0,0,0,1,0,0,0,0,0,0,0,never,never,never,daily,never,never,never,never,never,never,31
summer,Saturday,2,Mantsopa,1500.0,tap in yard,IBR/Corr.Iron/Zinc,IBR/Corr.Iron/Zinc,20.0,14.0,22.0,0,0,0,1,0,0,0,0,0,0,0,never,never,never,daily,never,never,never,never,never,never,31
summer,weekday,2,Mantsopa,1500.0,tap in yard,IBR/Corr.Iron/Zinc,IBR/Corr.Iron/Zinc,20.0,14.0,22.0,0,0,0,1,0,0,0,0,0,0,0,never,never,never,daily,never,never,never,never,never,never,31
summer,weekday,2,Greater Tubatse/Fetakgomo,3068.181818181818,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,6.0,1,1,0,0,1,1,0,0,1,1,0,never,daily,never,never,weekly,daily,never,never,daily,never,31
summer,weekday,7,Greater Tubatse/Fetakgomo,3068.181818181818,tap in yard,Tiles,Concrete,20.0,234.0,14.0,1,0,0,0,1,1,0,0,1,1,0,never,never,never,never,weekly,daily,never,never,daily,never,31
winter,weekday,2,Greater Tubatse/Fetakgomo,3068.181818181818,tap in yard,Tiles,Concrete,20.0,234.0,14.0,1,0,0,0,1,1,0,0,1,1,0,never,never,never,never,weekly,daily,never,never,daily,never,31
summer,Friday,4,Greater Tubatse/Fetakgomo,15170.454545454546,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,109.0,17.0,1,0,0,1,1,1,1,0,0,1,1,never,never,never,daily,weekly,daily,daily,never,never,weekly,31
summer,Saturday,7,Greater Tubatse/Fetakgomo,15170.454545454546,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,109.0,17.0,1,0,0,1,1,1,1,0,0,1,1,never,never,never,daily,weekly,daily,daily,never,never,weekly,31
summer,Sunday,2,Greater Tubatse/Fetakgomo,15170.454545454546,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,109.0,17.0,1,0,0,1,1,1,1,0,0,1,1,never,never,never,daily,weekly,daily,daily,never,never,weekly,31
summer,weekday,20,Greater Tubatse/Fetakgomo,15170.454545454546,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,109.0,17.0,1,0,0,1,1,1,1,0,0,1,1,never,never,never,daily,weekly,daily,daily,never,never,weekly,31
summer,Friday,5,Greater Tubatse/Fetakgomo,6477.272727272727,tap in yard,Tiles,Plaster,20.0,236.0,10.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,Saturday,3,Greater Tubatse/Fetakgomo,6477.272727272727,tap in yard,Tiles,Plaster,20.0,236.0,10.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,Sunday,2,Greater Tubatse/Fetakgomo,6477.272727272727,tap in yard,Tiles,Plaster,20.0,236.0,10.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,weekday,6,Greater Tubatse/Fetakgomo,6477.272727272727,tap in yard,Tiles,Plaster,20.0,236.0,10.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,Friday,2,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,60.0,40.0,10.0,1,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Sunday,2,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,60.0,40.0,10.0,1,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,weekday,5,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,60.0,40.0,10.0,1,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,weekday,3,Greater Tubatse/Fetakgomo,7784.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,50.0,11.0,1,0,1,1,1,1,0,0,0,1,1,never,never,weekly,daily,weekly,daily,never,never,never,weekly,31
summer,Friday,10,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
summer,Saturday,7,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
summer,Sunday,5,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
summer,weekday,28,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
winter,Friday,5,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
winter,Saturday,3,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
winter,Sunday,3,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
winter,weekday,18,Greater Tubatse/Fetakgomo,10625.0,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,118.0,13.0,1,0,0,0,1,1,1,0,1,1,1,never,never,never,never,weekly,daily,daily,never,daily,weekly,31
summer,Friday,2,Greater Tubatse/Fetakgomo,4943.181818181818,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,80.0,10.0,1,0,0,0,1,1,1,0,1,1,0,never,never,never,never,weekly,daily,weekly,never,daily,never,31
summer,weekday,3,Greater Tubatse/Fetakgomo,4943.181818181818,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,80.0,10.0,1,0,0,0,1,1,1,0,1,1,0,never,never,never,never,weekly,daily,weekly,never,daily,never,31
summer,Friday,2,Greater Tubatse/Fetakgomo,2272.7272727272725,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,75.0,8.0,1,0,0,0,1,1,0,0,1,1,0,never,never,never,never,weekly,daily,never,never,daily,never,31
summer,Saturday,3,Greater Tubatse/Fetakgomo,11761.363636363636,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,226.0,10.0,1,0,0,1,1,1,1,0,0,1,0,never,never,never,daily,weekly,daily,daily,never,never,never,31
summer,Sunday,2,Greater Tubatse/Fetakgomo,11761.363636363636,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,226.0,10.0,1,0,0,1,1,1,1,0,0,1,0,never,never,never,daily,weekly,daily,daily,never,never,never,31
summer,weekday,4,Greater Tubatse/Fetakgomo,11761.363636363636,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,226.0,10.0,1,0,0,1,1,1,1,0,0,1,0,never,never,never,daily,weekly,daily,daily,never,never,never,31
summer,Saturday,2,Greater Tubatse/Fetakgomo,3181.818181818182,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,273.0,13.0,1,1,0,0,1,1,1,0,1,1,1,never,daily,never,never,weekly,daily,daily,never,daily,weekly,31
summer,Friday,2,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,77.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
summer,Saturday,3,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,77.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
summer,weekday,7,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,77.0,18.0,1,0,0,0,1,1,0,0,1,1,1,never,never,never,never,weekly,daily,never,never,daily,weekly,31
winter,Saturday,2,Greater Tubatse/Fetakgomo,681.8181818181819,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,106.0,10.0,1,0,0,1,0,0,0,0,0,1,0,never,never,never,daily,never,never,never,never,never,never,31
summer,Friday,4,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
summer,Saturday,6,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
summer,Sunday,2,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
summer,weekday,12,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
winter,Friday,3,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
winter,Sunday,2,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
winter,weekday,3,Greater Tubatse/Fetakgomo,0.0,tap in yard,IBR/Corr.Iron/Zinc,Blocks,20.0,113.0,7.0,1,0,0,0,1,0,1,0,1,1,0,never,never,never,never,weekly,never,daily,never,daily,never,31
summer,Friday,2,Greater Tubatse/Fetakgomo,1534.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,62.0,13.0,1,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Sunday,2,Greater Tubatse/Fetakgomo,1534.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,62.0,13.0,1,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,weekday,4,Greater Tubatse/Fetakgomo,1534.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,62.0,13.0,1,0,0,1,1,1,0,0,0,1,0,never,never,never,daily,weekly,daily,never,never,never,never,31
summer,Friday,2,Greater Tubatse/Fetakgomo,28409.090909090908,tap inside house,Tiles,Brick,20.0,287.0,7.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,weekly,never,weekly,daily,daily,never,daily,weekly,31
summer,Sunday,3,Greater Tubatse/Fetakgomo,28409.090909090908,tap inside house,Tiles,Brick,20.0,287.0,7.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,weekly,never,weekly,daily,daily,never,daily,weekly,31
summer,weekday,4,Greater Tubatse/Fetakgomo,28409.090909090908,tap inside house,Tiles,Brick,20.0,287.0,7.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,weekly,never,weekly,daily,daily,never,daily,weekly,31
summer,weekday,4,Greater Tubatse/Fetakgomo,1534.090909090909,tap in yard,IBR/Corr.Iron/Zinc,Plaster,20.0,191.0,13.0,1,0,0,1,0,1,0,0,0,0,0,never,never,never,daily,never,daily,never,never,never,never,31
summer,Friday,5,Kouga,3409.090909090909,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,126.0,20.0,1,0,0,0,1,1,1,1,0,1,1,never,never,never,never,weekly,daily,daily,daily,never,weekly,31
summer,Saturday,4,Kouga,3409.090909090909,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,126.0,20.0,1,0,0,0,1,1,1,1,0,1,1,never,never,never,never,weekly,daily,daily,daily,never,weekly,31
summer,weekday,5,Kouga,3409.090909090909,tap inside house,IBR/Corr.Iron/Zinc,Plaster,20.0,126.0,20.0,1,0,0,0,1,1,1,1,0,1,1,never,never,never,never,weekly,daily,daily,daily,never,weekly,31
