season,daytype,k_count,Municipality,monthly_income,water_access,roof_material,wall_material,cb_size,floor_area,years_electrified,fridge_freezer,geyser,heater,hotplate,iron,kettle,microwave,3_plate,4_plate,tv,washing_machine,fridge_freezer_use,geyser_use,heater_use,hotplate_use,iron_use,kettle_use,microwave_use,3_plate_use,4_plate_use,washing_machine_use,k
summer,Sunday,4,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,81.0,8.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,2,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,81.0,8.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,3,Mangaung,9090.90909090909,tap inside house,Tiles,Brick,20.0,81.0,8.0,1,1,1,0,1,1,1,0,1,0,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
winter,weekday,2,Mangaung,0.0,tap inside house,Concrete,Brick,20.0,48.0,26.0,1,1,0,0,1,1,1,0,1,1,0,never,daily,never,never,weekly,daily,daily,never,daily,never,1
summer,Friday,2,Mangaung,1250.0,tap inside house,Tiles,Brick,20.0,63.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,3,Mangaung,1250.0,tap inside house,Tiles,Brick,20.0,63.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,weekday,4,Mangaung,1250.0,tap inside house,Tiles,Brick,20.0,63.0,18.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,5,Mangaung,11931.818181818182,tap inside house,Tiles,Brick,20.0,193.0,20.0,1,1,1,0,1,1,1,0,1,1,1,never,daily,daily,never,weekly,daily,daily,never,daily,weekly,1
summer,Sunday,3,Mangaung,26534.090909090908,tap inside house,Tiles,Brick,20.0,61.0,14.0,1,0,1,0,1,1,1,0,1,1,1,never,never,weekly,never,weekly,daily,daily,never,daily,weekly,1
winter,Saturday,3,Mangaung,26534.090909090908,tap inside house,Tiles,Brick,20.0,61.0,14.0,1,0,1,0,1,1,1,0,1,1,1,never,never,weekly,never,weekly,daily,daily,never,daily,weekly,1
