season,daytype,monthly_income,water_access,wall_material,floor_area
summer,Saturday,7954.545454545455,tap in yard,Concrete,17.0
summer,Sunday,7954.545454545455,tap in yard,Concrete,17.0
winter,Sunday,7954.545454545455,tap in yard,Concrete,17.0
winter,weekday,7954.545454545455,tap in yard,Concrete,17.0
summer,Sunday,18579.545454545456,tap inside house,Brick,290.0
summer,weekday,18579.545454545456,tap inside house,Brick,290.0
winter,Saturday,18579.545454545456,tap inside house,Brick,290.0
winter,Sunday,18579.545454545456,tap inside house,Brick,290.0
winter,weekday,18579.545454545456,tap inside house,Brick,290.0
summer,Saturday,5681.818181818182,tap in yard,Plaster,81.0
summer,Sunday,5681.818181818182,tap in yard,Plaster,81.0
summer,weekday,5681.818181818182,tap in yard,Plaster,81.0
winter,Sunday,13636.363636363636,tap inside house,Plaster,89.0
winter,weekday,17045.454545454544,tap in yard,Plaster,25.0
summer,Sunday,5681.818181818182,tap in yard,Plaster,35.0
summer,weekday,5681.818181818182,tap in yard,Plaster,35.0
winter,Friday,5681.818181818182,tap in yard,Plaster,35.0
winter,Sunday,5681.818181818182,tap in yard,Plaster,35.0
winter,weekday,5681.818181818182,tap in yard,Plaster,35.0
summer,Sunday,0.0,tap inside house,Brick,150.0
winter,Saturday,0.0,tap inside house,Brick,150.0
winter,Sunday,0.0,tap inside house,Brick,150.0
winter,Sunday,1534.090909090909,tap inside house,Plaster,186.0
summer,Sunday,7102.272727272727,tap inside house,Plaster,65.0
winter,weekday,7102.272727272727,tap inside house,Plaster,65.0
summer,Sunday,1534.090909090909,tap inside house,Plaster,207.0
summer,Friday,18181.81818181818,tap inside house,Plaster,164.0
summer,Saturday,18181.81818181818,tap inside house,Plaster,164.0
summer,weekday,18181.81818181818,tap inside house,Plaster,164.0
winter,Friday,18181.81818181818,tap inside house,Plaster,164.0
winter,Saturday,18181.81818181818,tap inside house,Plaster,164.0
winter,Sunday,18181.81818181818,tap inside house,Plaster,164.0
winter,weekday,18181.81818181818,tap inside house,Plaster,164.0
summer,weekday,0.0,tap in yard,Plaster,167.0
summer,Friday,25795.454545454544,tap inside house,Brick,282.0
summer,Saturday,25795.454545454544,tap inside house,Brick,282.0
summer,weekday,25795.454545454544,tap inside house,Brick,282.0
winter,weekday,25795.454545454544,tap inside house,Brick,282.0
summer,Friday,9090.90909090909,tap in yard,Blocks,18.0
winter,Saturday,9090.90909090909,tap in yard,Blocks,18.0
winter,weekday,9090.90909090909,tap in yard,Blocks,18.0
winter,weekday,29545.454545454544,tap inside house,Brick,208.0
summer,Saturday,22727.272727272728,tap in yard,Plaster,107.0
winter,Sunday,22727.272727272728,tap in yard,Plaster,107.0
winter,weekday,0.0,tap inside house,Plaster,116.0
summer,weekday,10625.0,tap inside house,Plaster,135.0
winter,weekday,10625.0,tap inside house,Plaster,135.0
summer,weekday,0.0,tap inside house,Plaster,40.0
winter,Saturday,0.0,tap inside house,Plaster,40.0
winter,Sunday,0.0,tap inside house,Plaster,40.0
summer,Friday,13636.363636363636,tap in yard,Plaster,162.0
summer,Saturday,13636.363636363636,tap in yard,Plaster,162.0
summer,weekday,13636.363636363636,tap in yard,Plaster,162.0
winter,Friday,13636.363636363636,tap in yard,Plaster,162.0
winter,weekday,13636.363636363636,tap in yard,Plaster,162.0
summer,Sunday,8352.272727272728,tap inside house,Brick,129.0
winter,Sunday,8352.272727272728,tap inside house,Brick,129.0
summer,Friday,3068.181818181818,tap in yard,Blocks,28.0
summer,Saturday,3068.181818181818,tap in yard,Blocks,28.0
summer,Sunday,3068.181818181818,tap in yard,Blocks,28.0
summer,weekday,3068.181818181818,tap in yard,Blocks,28.0
summer,Saturday,1534.090909090909,tap inside house,Plaster,120.0
summer,Sunday,1534.090909090909,tap inside house,Plaster,120.0
summer,weekday,1534.090909090909,tap inside house,Plaster,120.0
winter,Sunday,1534.090909090909,tap inside house,Plaster,120.0
summer,Saturday,3409.090909090909,tap in yard,Plaster,72.0
summer,weekday,3409.090909090909,tap in yard,Plaster,72.0
winter,Saturday,3409.090909090909,tap in yard,Plaster,72.0
winter,Sunday,3409.090909090909,tap in yard,Plaster,72.0
winter,weekday,3409.090909090909,tap in yard,Plaster,72.0
summer,Sunday,56818.181818181816,tap inside house,Plaster,237.0
summer,weekday,56818.181818181816,tap inside house,Plaster,237.0
summer,Sunday,3068.181818181818,tap inside house,Brick,45.0
summer,Saturday,5681.818181818182,tap in yard,Plaster,23.0
summer,Sunday,5681.818181818182,tap in yard,Plaster,23.0
summer,weekday,5681.818181818182,tap in yard,Plaster,23.0
winter,Sunday,5113.636363636364,tap in yard,Plaster,117.0
winter,weekday,5113.636363636364,tap in yard,Plaster,117.0
summer,weekday,0.0,tap inside house,Plaster,125.0
winter,Sunday,0.0,tap inside house,Plaster,125.0
winter,Sunday,0.0,tap in yard,Brick,57.0
winter,weekday,0.0,tap in yard,Brick,57.0
summer,weekday,0.0,tap in yard,Plaster,86.0
winter,weekday,0.0,tap in yard,Plaster,86.0
summer,Saturday,18181.81818181818,tap inside house,Brick,221.0
summer,Sunday,18181.81818181818,tap inside house,Brick,221.0
winter,weekday,18181.81818181818,tap inside house,Brick,221.0
winter,weekday,3409.090909090909,tap inside house,Brick,87.0
summer,Sunday,11363.636363636364,tap inside house,Brick,182.0
winter,weekday,11363.636363636364,tap inside house,Brick,182.0
summer,Sunday,6818.181818181818,tap in yard,Blocks,206.0
winter,Sunday,6818.181818181818,tap in yard,Blocks,206.0
winter,Sunday,2272.7272727272725,tap in yard,Brick,121.0
summer,Saturday,3068.181818181818,tap in yard,Brick,133.0
summer,weekday,3068.181818181818,tap in yard,Brick,133.0
winter,Saturday,3068.181818181818,tap in yard,Brick,133.0
winter,Sunday,3068.181818181818,tap in yard,Brick,133.0
winter,weekday,3068.181818181818,tap in yard,Brick,133.0
summer,weekday,6818.181818181818,tap inside house,Brick,141.0
winter,weekday,6818.181818181818,tap inside house,Brick,141.0
summer,weekday,10227.272727272728,tap in yard,Blocks,65.0
summer,Friday,2840.909090909091,tap in yard,Plaster,187.0
summer,Saturday,2840.909090909091,tap in yard,Plaster,187.0
summer,Sunday,2840.909090909091,tap in yard,Plaster,187.0
summer,weekday,2840.909090909091,tap in yard,Plaster,187.0
winter,Sunday,2840.909090909091,tap in yard,Plaster,187.0
winter,weekday,2840.909090909091,tap in yard,Plaster,187.0
summer,Saturday,3125.0,tap in yard,Plaster,42.0
summer,weekday,3125.0,tap in yard,Plaster,42.0
summer,weekday,5340.909090909091,tap inside house,Plaster,118.0
summer,weekday,6818.181818181818,tap in yard,Plaster,66.0
summer,Friday,7954.545454545455,tap in yard,Plaster,157.0
summer,Saturday,7954.545454545455,tap in yard,Plaster,157.0
summer,Sunday,7954.545454545455,tap in yard,Plaster,157.0
summer,weekday,7954.545454545455,tap in yard,Plaster,157.0
winter,weekday,7954.545454545455,tap in yard,Plaster,157.0
winter,Saturday,0.0,tap inside house,Plaster,71.0
winter,weekday,0.0,tap inside house,Plaster,71.0
winter,Saturday,7954.545454545455,tap inside house,Plaster,53.0
summer,Sunday,19318.18181818182,tap inside house,Plaster,53.0
winter,Sunday,19318.18181818182,tap inside house,Plaster,53.0
winter,weekday,19318.18181818182,tap inside house,Plaster,53.0
summer,Sunday,1534.090909090909,tap in yard,Brick,54.0
winter,weekday,3068.181818181818,tap inside house,Concrete,46.0
summer,Sunday,8352.272727272728,tap inside house,Brick,78.0
summer,weekday,8352.272727272728,tap inside house,Brick,78.0
summer,Saturday,11363.636363636364,tap inside house,Plaster,46.0
summer,Sunday,11363.636363636364,tap inside house,Plaster,46.0
summer,weekday,11363.636363636364,tap inside house,Plaster,46.0
winter,weekday,11363.636363636364,tap inside house,Plaster,46.0
summer,Sunday,0.0,tap inside house,Plaster,118.0
summer,weekday,0.0,tap inside house,Plaster,118.0
winter,Sunday,1534.090909090909,tap inside house,Plaster,47.0
summer,weekday,2840.909090909091,tap inside house,Brick,46.0
summer,Saturday,0.0,tap inside house,Plaster,44.0
summer,weekday,0.0,tap inside house,Plaster,44.0
winter,Sunday,0.0,tap inside house,Plaster,44.0
winter,weekday,0.0,tap inside house,Plaster,44.0
summer,Sunday,3409.090909090909,tap inside house,Brick,71.0
winter,Sunday,3409.090909090909,tap inside house,Brick,71.0
summer,Saturday,35625.0,tap inside house,Plaster,106.0
summer,Sunday,35625.0,tap inside house,Plaster,106.0
summer,weekday,35625.0,tap inside house,Plaster,106.0
